Income,Mean Income,Mean Expenditures,Mean Food,Mean Food at Home
Less than $5,000,-814.00,1.6,1.9,2.0
$5,000 to $9,999,8214.00,1.6,1.9,2.2
$10,000 to $14,999 ,13119.00,2.7,3.3,3.9
$15,000 to 19,999,17840.00,3.1,3.2,3.8
$20,000 to $29,999,25355.00,7.4,8.3,9.3
$30,000 to $39,999,35027.00,7.3,8.7,9.4
$40,000 to $49,999,44621.00,7.6,8.4,8.9
$50,000 to $69,999,58610.00,15.2,15.3,15.5
$70,000 to $79,999,73072.00,7.1,7.1,7.1
$80,000 to $99,999 ,86462.00,11.2,12.0,12.0
$100,000 and more,157379.00,35.1,30.0,25.9
$100,000 to $119,999,105048.00,9.2,9.4,9.0
$120,000 to $149,000,127295.00,8.6,8.0,7.3
$150,000 and more,220261.00,17.3,12.5,9.6
