FIPS,"Berries, Other",Berry Totals,Blackberries,Blueberries,Boysenberries,Cranberries,Currants,Loganberries,Raspberries,Strawberries
1001,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
1003,1.0,41.0,9.0,33.0,0.0,0.0,0.0,0.0,0.0,5.0
1005,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
1007,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
1009,0.0,25.0,2.0,18.0,0.0,0.0,0.0,0.0,1.0,6.0
1013,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
1015,0.0,13.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
1017,0.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0
1019,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
1021,0.0,20.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,9.0
1027,0.0,9.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
1029,3.0,10.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
1031,0.0,10.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0
1035,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1037,0.0,8.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
1039,0.0,8.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0
1041,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
1043,0.0,14.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,4.0
1045,0.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0
1047,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1049,0.0,13.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,2.0
1051,0.0,20.0,7.0,18.0,0.0,0.0,0.0,0.0,2.0,1.0
1053,0.0,4.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
1055,0.0,5.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0
1057,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1059,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
1061,0.0,13.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,3.0
1063,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
1065,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
