State,State ANSI,Ag District,Ag District Code,County,County ANSI,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
ALABAMA,1,BLACK BELT,40,AUTAUGA,1,BERRY TOTALS,BERRY TOTALS - ACRES GROWN,TOTAL,NOT SPECIFIED,5,88.1
ALABAMA,1,BLACK BELT,40,AUTAUGA,1,BERRY TOTALS,BERRY TOTALS - OPERATIONS WITH AREA GROWN,TOTAL,NOT SPECIFIED,5,30.4
ALABAMA,1,BLACK BELT,40,AUTAUGA,1,BERRY TOTALS,"BERRY TOTALS, IRRIGATED - ACRES GROWN",TOTAL,NOT SPECIFIED, (D),(D)
ALABAMA,1,BLACK BELT,40,AUTAUGA,1,BERRY TOTALS,"BERRY TOTALS, IRRIGATED - OPERATIONS WITH AREA GROWN",TOTAL,NOT SPECIFIED,4,37.4
ALABAMA,1,BLACK BELT,40,AUTAUGA,1,BLUEBERRIES,"BLUEBERRIES, TAME - ACRES GROWN",TOTAL,NOT SPECIFIED,5,88.9
ALABAMA,1,BLACK BELT,40,AUTAUGA,1,BLUEBERRIES,"BLUEBERRIES, TAME - OPERATIONS WITH AREA GROWN",TOTAL,NOT SPECIFIED,5,34.1
ALABAMA,1,BLACK BELT,40,DALLAS,47,BERRY TOTALS,BERRY TOTALS - ACRES GROWN,TOTAL,NOT SPECIFIED, (D),(D)
ALABAMA,1,BLACK BELT,40,DALLAS,47,BERRY TOTALS,BERRY TOTALS - OPERATIONS WITH AREA GROWN,TOTAL,NOT SPECIFIED,2,30.4
ALABAMA,1,BLACK BELT,40,DALLAS,47,BERRY TOTALS,"BERRY TOTALS, IRRIGATED - ACRES GROWN",TOTAL,NOT SPECIFIED, (D),(D)
ALABAMA,1,BLACK BELT,40,DALLAS,47,BERRY TOTALS,"BERRY TOTALS, IRRIGATED - OPERATIONS WITH AREA GROWN",TOTAL,NOT SPECIFIED,2,37.4
ALABAMA,1,BLACK BELT,40,DALLAS,47,BLACKBERRIES,"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - ACRES GROWN",TOTAL,NOT SPECIFIED, (D),(D)
ALABAMA,1,BLACK BELT,40,DALLAS,47,BLACKBERRIES,"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - OPERATIONS WITH AREA GROWN",TOTAL,NOT SPECIFIED,1,58.4
ALABAMA,1,BLACK BELT,40,DALLAS,47,BLUEBERRIES,"BLUEBERRIES, TAME - ACRES GROWN",TOTAL,NOT SPECIFIED, (D),(D)
ALABAMA,1,BLACK BELT,40,DALLAS,47,BLUEBERRIES,"BLUEBERRIES, TAME - OPERATIONS WITH AREA GROWN",TOTAL,NOT SPECIFIED,1,34.1
ALABAMA,1,BLACK BELT,40,ELMORE,51,BERRY TOTALS,BERRY TOTALS - ACRES GROWN,TOTAL,NOT SPECIFIED,23,88.1
ALABAMA,1,BLACK BELT,40,ELMORE,51,BERRY TOTALS,BERRY TOTALS - OPERATIONS WITH AREA GROWN,TOTAL,NOT SPECIFIED,20,30.4
ALABAMA,1,BLACK BELT,40,ELMORE,51,BERRY TOTALS,"BERRY TOTALS, IRRIGATED - ACRES GROWN",TOTAL,NOT SPECIFIED,9,(H)
ALABAMA,1,BLACK BELT,40,ELMORE,51,BERRY TOTALS,"BERRY TOTALS, IRRIGATED - OPERATIONS WITH AREA GROWN",TOTAL,NOT SPECIFIED,7,37.4
ALABAMA,1,BLACK BELT,40,ELMORE,51,BLACKBERRIES,"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - ACRES GROWN",TOTAL,NOT SPECIFIED,4,95.6
ALABAMA,1,BLACK BELT,40,ELMORE,51,BLACKBERRIES,"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - OPERATIONS WITH AREA GROWN",TOTAL,NOT SPECIFIED,7,58.4
