State,State ANSI,Ag District,Ag District Code,County,County ANSI,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
VERMONT,50,ALL COUNTIES,10,ADDISON,1,ASPARAGUS,ASPARAGUS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,5,23.8
VERMONT,50,ALL COUNTIES,10,ADDISON,1,ASPARAGUS,ASPARAGUS - OPERATIONS WITH AREA HARVESTED,TOTAL,NOT SPECIFIED,7,24.7
VERMONT,50,ALL COUNTIES,10,ADDISON,1,ASPARAGUS,"ASPARAGUS, FRESH MARKET - ACRES HARVESTED",TOTAL,NOT SPECIFIED,5,23.8
VERMONT,50,ALL COUNTIES,10,ADDISON,1,ASPARAGUS,"ASPARAGUS, FRESH MARKET - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,7,24.7
VERMONT,50,ALL COUNTIES,10,ADDISON,1,BEANS,"BEANS, SNAP - ACRES HARVESTED",TOTAL,NOT SPECIFIED,10,21.4
VERMONT,50,ALL COUNTIES,10,ADDISON,1,BEANS,"BEANS, SNAP - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,19,19.9
VERMONT,50,ALL COUNTIES,10,ADDISON,1,BEANS,"BEANS, SNAP, FRESH MARKET - ACRES HARVESTED",TOTAL,NOT SPECIFIED,10,21.6
VERMONT,50,ALL COUNTIES,10,ADDISON,1,BEANS,"BEANS, SNAP, FRESH MARKET - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,19,20.3
VERMONT,50,ALL COUNTIES,10,ADDISON,1,BEETS,BEETS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,1,15.3
VERMONT,50,ALL COUNTIES,10,ADDISON,1,BEETS,BEETS - OPERATIONS WITH AREA HARVESTED,TOTAL,NOT SPECIFIED,7,27.8
VERMONT,50,ALL COUNTIES,10,ADDISON,1,BEETS,"BEETS, FRESH MARKET - ACRES HARVESTED",TOTAL,NOT SPECIFIED,1,15.3
VERMONT,50,ALL COUNTIES,10,ADDISON,1,BEETS,"BEETS, FRESH MARKET - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,7,27.8
VERMONT,50,ALL COUNTIES,10,ADDISON,1,BROCCOLI,BROCCOLI - ACRES HARVESTED,TOTAL,NOT SPECIFIED,7,20.3
